Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Alethes,https://www.crunchbase.com/organization/alethes,Private,For Profit,"Consulting, Cyber Security, Digital Marketing, Software",1-10,"Rome, Lazio, Italy","1,307,905",,"1,255,214",,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Privacy and Security, Professional Services, Sales and Marketing, Software",,,,,,,,info@alethes.io,https://www.linkedin.com/company/alethessrl/,https://alethes.io/,,,,,2020-12-04,day,Active,"Alethes is a software development firm that offers research and development of software technologies, data analytics, and security services.",Less than $1M,136,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Alexius,https://www.crunchbase.com/organization/alexius-4c7c,Private,For Profit,"Legal, Online Portals",,"Rome, Lazio, Italy","2,912,073",,"2,834,762",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Internet Services, Professional Services",,,,,,,,,,https://alexius.it,,,,,2022-03-14,day,Active,Alexius is a digital portal providing services to lawyers.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Alinaflorea.net,https://www.crunchbase.com/organization/alinaflorea-net,Private,For Profit,"Business Development, Corporate Training, Management Consulting",1-10,"Milan, Lombardia, Italy","1,369,069",,"1,315,264",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Professional Services",,,,,,,+39 349 502 4525,alina@alinaflorea.com,https://www.linkedin.com/company/alinafloreanet,https://www.alinaflorea.net,,,,,2019-01-01,year,Active,Alinaflorea.net is an organizational development company that offers executive coaching services to managers and entrepreneurs.,$1M to $10M,20131,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
All Reserved,https://www.crunchbase.com/organization/all-reserved,Private,For Profit,"Banking, Credit, Property Management, Real Estate",51-100,"Milan, Lombardia, Italy","3,362,664",,"3,276,030",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments, Real Estate",,,,,,,+39 023-657-5260,info@nplcs.it,https://www.linkedin.com/company/all-reserved-srl/,http://www.nplcs.it,,,,,2018-01-01,year,Active,"All Reserved is a bank that offers credit management, purchase, property management, securitization, and real estate regeneration services.",,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AltaRè,https://www.crunchbase.com/organization/altarè,Private,For Profit,"Food and Beverage, Food Delivery, Food Processing",1-10,"Milan, Lombardia, Italy","841,433",,"799,777",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Food and Beverage, Transportation",,,,,,AltaRè is a food market and experience of Apulian products.,,,https://www.linkedin.com/company/altar%C3%A8/,https://www.alta-re.it/,,,,,2019-01-01,year,Active,AltaRè is a food market and experience of Apulian products.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ALTERSIDE,https://www.crunchbase.com/organization/alterside,Private,For Profit,"Augmented Reality, Metaverse, Virtual Reality",1-10,"Milan, Lombardia, Italy","1,572,838",,"1,515,608",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Esposito,1.0,"Hardware, Media and Entertainment, Software",,,,,,"The Metaverse Agency specializing in creating immersive experiences, services and content in Virtual Reality, Mixed Reality and Augmented Reality in the metaverse. We realize creative projects, virtual worlds and strategies for brand positioning, service and product offerings, entertainment and interaction with audiences through first-person experiences overcoming physical distances. Whether it is Meta, Roblox, Spatial, Apple, The Sandbox or Decentraland, we are the gateway into the metaverse.",,contact@alterside.com,https://www.linkedin.com/showcase/alterside,https://www.alterside.com,,,,,2022-06-15,day,Active,"The Metaverse Agency that creates experiences, services and contents with Virtual Reality, Augmented Reality and NFT in the metaverse.",,20159,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AM Turistic,https://www.crunchbase.com/organization/am-turistic,Private,For Profit,"Travel, Travel Agency",11-50,"Milan, Lombardia, Italy","1,238,662",,"1,187,288",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Travel and Tourism,,,,,,,39 02 49425919,info@amturistic.it,https://www.linkedin.com/company/am-turistic,https://amturistic.it,,,,,2020-01-01,year,Active,AM Turistic offers true luxury global travelers use of the helicopter.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Ambasciatori dei Diritti Umani,https://www.crunchbase.com/organization/ambasciatori-dei-diritti-umani,Private,For Profit,"Humanitarian, Social, Young Adults",11-50,"Milan, Lombardia, Italy","2,599,792",,"2,527,428",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lorenzo Barbanti, Stella Pennino",2.0,"Community and Lifestyle, Social Impact",,,,,,,,direction@ambasciatoridirittiumani.com,https://www.linkedin.com/company/adu-ambasciatori-diritti-umani/,https://www.ambasciatoridirittiumani.com/,,,,,2019-01-01,year,Active,Ambasciatori dei Diritti Umani is a social organization that offers competitions and events for the youth community.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Ami Poker,https://www.crunchbase.com/organization/ami-poker,Private,For Profit,"Food and Beverage, Food Delivery, Restaurants",11-50,"Rome, Lazio, Italy","469,864",,"442,686",,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alessandro De Crescenzo, Riccardo Bellini",2.0,"Food and Beverage, Transportation",,,,,,"Ami Poker is an food and beverage firm that provides starters, wraps, home poke, poke burger, tartare, poke burger, desert, smoothies, fruit bowls, and more. They also offer foods in online.",+39 06 87783981,info@amipoke.com,https://www.linkedin.com/company/ami-pok%C3%A8/,https://www.amipoke.com,,,,,2018-01-01,year,Active,Ami Poker is a restaurant.,$1M to $10M,193,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Amiche di Smalto,https://www.crunchbase.com/organization/amiche-di-smalto,Private,For Profit,"Beauty, E-Commerce, Fashion",1-10,"Rome, Lazio, Italy","1,743,732",,"1,683,777",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Mammalella,1.0,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",,,,,,,,info@amichedismalto.it,,https://amichedismalto.it,,,,,2018-04-04,day,Active,"Amiche di Smalto is a digital publishing venture devoted to fashion, beauty, and lifestyle.",Less than $1M,198,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AN.BTI,https://www.crunchbase.com/organization/an-bti,Private,For Profit,"Association, Consulting, Tourism",101-250,"Rome, Lazio, Italy","3,122,406",,"3,041,259",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other, Professional Services, Travel and Tourism",,,,,,,+39-342-346-1634,segreteria@busturistici.com,https://www.linkedin.com/company/an-bti-associazione-nazionale-bus-turistici-italiani/,https://www.busturistici.com/,,,,,2021-11-01,month,Active,AN.BTI is an association of tourist buses that works for the protection of social and economic interests of bus operators.,$1M to $10M,153,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Anatholica,https://www.crunchbase.com/organization/anatholica,Private,For Profit,"Journalism, Online Portals, Publishing",11-50,"Rome, Lazio, Italy","2,972,550",,"2,894,173",,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Internet Services, Media and Entertainment",,,,,,,,info@anatholica.com,https://www.linkedin.com/company/anatholica,https://mag.anatholica.com/,,,,,2021-01-01,year,Active,Anatholica is an online media company that provides magazines and journalism services for various clients.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ANCP,https://www.crunchbase.com/organization/ancp,Private,Non-profit,"Association, Financial Services, Non Profit, Wealth Management",5001-10000,"Milan, Lombardia, Italy","2,141,376",,"2,075,561",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Other, Social Impact",,,,,,,,info@ancp.eu,https://www.linkedin.com/company/ancp-associazione-nazionale-consulenti-patrimoniali,https://ancp.eu/,,,,,2019-01-01,year,Active,ANCP is a financial association that consists of professionals that deal with wealth advisory and financial services sectors.,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Andrea Lambiase,https://www.crunchbase.com/organization/andrea-lambiase,Private,For Profit,"Fashion, Men's, Product Design, Textiles, Women's",11-50,"Milan, Lombardia, Italy","1,704,923",,"1,645,574",,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Lambiase,1.0,"Clothing and Apparel, Community and Lifestyle, Design, Manufacturing",,,,,,,,info@andrealambiase.com,https://www.linkedin.com/company/andrea-lambiase,https://www.andrealambiase.com,,,,,2018-01-01,year,Active,Andrea Lambiase is a fashion designer for men and women.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Angelo Custode,https://www.crunchbase.com/organization/angelo-custode,Private,For Profit,"Information Technology, Security, Software",11-50,"Milan, Lombardia, Italy","3,098,437",,"3,017,764",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",,,,,,,+39-250-990-061,marketing@remote-assistance.it,https://www.linkedin.com/company/remote-assistance-srl/,https://angelocustode.remote-assistance.it,,,,,2020-01-01,year,Active,Angelo Custode is a security system supplier that offers safety communication devices and remote assistance for lone workers.,,20068,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Another Step,https://www.crunchbase.com/organization/another-step-0a3f,Private,For Profit,"Consulting, Marketing, Social Media Management, Web Design",1-10,"Milan, Lombardia, Italy","1,964,677",,"1,901,425",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Design, Internet Services, Professional Services, Sales and Marketing",,,,,,,+39 320 901 3343,info@anotherstep.it,https://www.linkedin.com/company/anothersteponline,https://www.anotherstep.online,,,,,2022-01-01,year,Active,"Another Step is a marketing agency that offers consulting, media production, website design, online marketing, and management services.",$1M to $10M,20134,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ANTI-DO-TO,https://www.crunchbase.com/organization/anti-do-to,Private,,"Non Profit, Social Assistance",1-10,"Milan, Lombardia, Italy","3,261,388",,"3,177,257",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government and Military, Other, Social Impact",,,,,,"ANTI-DO-TO is a non-profit organization that aims to create change through action. The organization 50% of net profits go to social projects around the world. ANTI–DO–TO (ADT) is an activist brand that renders the streetwear wardrobe a vehicle for change. It was founded in 2020 and is located in Milan, Italy.",+39 049 7852221,help@anti-do-to.com.,https://www.linkedin.com/company/anti-do-to,https://www.anti-do-to.com,,,,,2020-01-01,year,Active,ANTI-DO-TO is a non-profit organization that aims to create change through action.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
App Village,https://www.crunchbase.com/organization/app-village,Private,For Profit,"Craft Beer, E-Commerce, Wine And Spirits",,"Turin, Piemonte, Italy","1,729,404",,"1,669,668",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",,,,,,,+39 011 043 7049,info@appvillage.it,https://www.linkedin.com/company/appvillageitalia,https://www.appvillage.it/,,,,,2021-01-01,year,Active,App Village is an online as well as a physical retail shop that distributes craft beer to customers.,Less than $1M,10138,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ARAFFICA,https://www.crunchbase.com/organization/araffica,Private,For Profit,"Advertising, Marketing Automation",1-10,"Milan, Lombardia, Italy","2,513,344",,"2,442,225",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Sales and Marketing, Software",,,,,,"ARAFFICA offers digital transformation services. They develops and manages their customers' online businesses to help them spread their brand and increase the sales of their products and services. They optimize clients' advertising to create customized online campaigns to increase sales. They create, manage, and refine effective automated flows to drive more conversions and generate leads.",,info@araffica.com,https://www.linkedin.com/company/araffica,https://www.araffica.com,,,,,2021-01-01,year,Active,ARAFFICA is a digital company that provides performance marketing and marketing automation services.,,20129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Arcangel,https://www.crunchbase.com/organization/arcangel,Private,For Profit,"Manufacturing, Medical Device, Therapeutics",,"Rome, Lazio, Italy","3,496,304",,"3,405,728",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Health Care, Manufacturing",,,,,,"Arcangel develops a prototype and the subsequent production and marketing of a new model of orthosis applicable to the ankle joint, which also integrates devices for exogenous thermotherapy, compression and to administer a pulsed electromagnetic field for therapeutic purposes for these pathologies.",,info@formazionesostenibile.it,,https://www.arcangelsrl.it,,,,,2018-07-24,day,Active,Arcangel designs and develops orthosis for joint pain management.,,182,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Archeo,https://www.crunchbase.com/organization/archeo,Private,For Profit,"Museums and Historical Sites, News, Publishing",11-50,"Rome, Lazio, Italy","1,284,298",,"1,232,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Travel and Tourism",,,,,,,+39 335 8437534,amministrazione@timelinepublishing.it,https://www.linkedin.com/company/timeline-publishing-s-r-l/,https://www.archeo.it/,,,,,2018-01-01,year,Active,Archeo is a publishing company that offers a glimpse of archaeological sites and historical places through magazines.,,184,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Ardesi,https://www.crunchbase.com/organization/ardesi,Private,Non-profit,"Association, Non Profit",1-10,"Brescia, Lombardia, Italy","3,663,710",,"3,567,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other, Social Impact",,,,,,,+39-339-570-1641,info@ardesifoundation.com,https://www.linkedin.com/company/ardesi-foundation/,https://www.ardesifoundation.com,,,,,2018-01-01,year,Active,Ardesi Foundation is a non-profit body that works to raise awareness and defend women against all types of violence.,,25121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AREIA Studio Legale,https://www.crunchbase.com/organization/areia-studio-legale,Private,For Profit,"Advice, Legal, Professional Services",11-50,"Bari, Puglia, Italy","1,706,332",,"1,646,972",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Media and Entertainment, Other, Professional Services",,,,,,,080 5569791,studio@areia.it,https://www.linkedin.com/company/areia-studio-legale,https://areia.it/,,,,,2020-01-01,year,Active,"AREIA Studio Legale is a law firm that specializes in civil litigation, domestic violence, legal advice, personal injury, and tax law.",$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Arox,https://www.crunchbase.com/organization/arox,Private,For Profit,"Consulting, Information Technology, Internet of Things",1-10,"Milan, Lombardia, Italy","1,455,906",,"1,400,615",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,PoliHub,,,,Seed,,,,Seed,,,,2020-07-22,Seed,1.0,,,"Information Technology, Internet Services, Professional Services",,,,,,"Arox is a data and signal processing technique based on IoT platforms. It allows real-time positioning of objects and people within complex structures and enables numerous applications related to marketing, supply chain management, hospital logistics management, access control, and optimization of public spaces.",,,https://www.linkedin.com/company/arox-srl/,https://arox.io/,,,,,2018-11-28,day,Active,Arox is an information technology firm that develops IoT solutions for the real-time localization of objects and people.,$1M to $10M,20159,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Arte.fi.ce.,https://www.crunchbase.com/organization/arte-fi-ce,Private,For Profit,"Consulting, Digital Marketing, Information Technology, Printing, Software",1-10,"Naples, Campania, Italy","1,575,689",,"1,518,405",,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brunella Ghiggi, Dario Ghiggi",2.0,"Content and Publishing, Information Technology, Media and Entertainment, Professional Services, Sales and Marketing, Software",,,,,,,+39 373 824 5949,info@arteficecoop.com,https://www.linkedin.com/company/artefice-icc/,https://arteficecoop.com/,,,,,2018-01-01,year,Active,Arte.fi.ce. is an information technology company that creates management and promotional solutions to enhance and protect cultural heritage.,Less than $1M,80132,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
artea.com,https://www.crunchbase.com/organization/artea-com,Private,For Profit,"Artificial Intelligence (AI), Big Data, Consulting, Enterprise Applications, Software",1-10,"Milan, Lombardia, Italy","477,010",,"449,512",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,,,,"artea.com is a software company providing enterprise application integration, big data engineering, artificial intelligence, and algorithm services. Their consulting covers the entire lifecycle of data and spans blindly across the proprietary platform and market technologies.",+39 02 5003 0912,info@artea.com,https://www.linkedin.com/company/artea-com-srl,https://artea.com,,,,,2018-01-01,year,Active,artea.com offers enterprise application integration and big data engineering eervices.,$1B to $10B,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Artemisia,https://www.crunchbase.com/organization/artemisia,Private,For Profit,"Association, Content, Events, Social Media Management",1-10,"Rome, Lazio, Italy","1,248,220",,"1,196,656",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Events, Internet Services, Media and Entertainment, Other, Sales and Marketing",,,,,,,+39 347 615 1134,artemisiagroup3.0@gmail.com,https://www.linkedin.com/company/artemisia-group,https://www.artemisiagroup.it,,,,,2021-01-01,year,Active,Artemisia is a cultural association that creates multimedia content.,,144,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Artonauti,https://www.crunchbase.com/organization/artonauti,Private,For Profit,"Digital Entertainment, EdTech, Education, Edutainment",1-10,"Milan, Lombardia, Italy","1,140,760",,"1,091,392",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Fondazione Social Venture Giordano dell'Amore,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,2021-01-01,,1.0,,,"Education, Media and Entertainment, Software",,,,,,"Artonauti is a social enterprise promoting art and beauty through play. Its platform is involved in the dissemination of the figurative arts for children, specifically through the creation of albums for the collection of stickers relating to the world of art, and books and educational tools. It provides families, teachers, and educators with edutainment products made to innovate the didactic approach to art and increase knowledge of the works at a transgenerational level.",,info@artonauti.it,https://www.linkedin.com/company/artonauti-le-figurine-dell-arte/,https://www.artonauti.it/,,,,,2018-01-01,year,Active,Artonauti is a social enterprise promoting art and beauty through play.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Artàporter,https://www.crunchbase.com/organization/artàporter,Private,For Profit,"Art, Internet, Online Portals",1-10,"Turin, Piemonte, Italy","2,863,776",,"2,787,317",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dario Ujetto,1.0,"Internet Services, Media and Entertainment",,,,,,,+39 334 707 3329,info@artaporter.it,https://www.linkedin.com/company/art%C3%A0porter/,https://artaporter.it,,,,,2021-01-01,year,Active,"Artàporter is a platform that connects artists and businesses to create urban art galleries, with the option to buy works on the spot.",,10137,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Asincrona,https://www.crunchbase.com/organization/asincrona,Private,For Profit,"Artificial Intelligence (AI), Information Technology, Mobile Apps, Software, UX Design",1-10,"Milan, Lombardia, Italy","610,531",,"576,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christian Lombardo, Giuseppe Bruno",2.0,"Apps, Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Mobile, Science and Engineering, Software",,,,,,"We develop software and design starting from a blank sheet of paper, because every innovative project needs its own space - [ Founders, Creators and Developers of the platforms Kibada Healtcare Integrated Systems - Kibada Business for Pharmacies - Kicerki for Domiciliary Assistance - Midacron CRM for whitelabeling necessities ]",+393933317689,hello@asincrona.com,,https://asincrona.com,,,,,2024-08-29,day,Active,Software house focused exclusively on highly innovative projects and incubator of startups.,,20141,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Assist Technology and Research,https://www.crunchbase.com/organization/assist-technology-and-research,Private,For Profit,"Apps, Internet of Things, Mobile Apps",1-10,"Rome, Lazio, Italy","2,794,179",,"2,718,891",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Internet Services, Mobile, Software",,,,,,Assist Technology and Research in the design and development of mobile healthcare device applications. They create open-source solutions in the field of big data and data analytics. They offer innovative regenerative and reconstructive surgery products.,+39 06 79 2502 44,info@assist-technology.it,https://www.linkedin.com/company/assist-technology/,https://www.assist-technology.it,,,,,2019-01-01,year,Active,Assist Technology and Research provides design and development of IoT systems.,,87036,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Assist-x,https://www.crunchbase.com/organization/assist-x,Private,For Profit,"Artificial Intelligence (AI), Digital Marketing, Information Technology, Web Design",1-10,"Milan, Lombardia, Italy","3,038,347",,"2,958,796",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Sales and Marketing, Science and Engineering, Software",,,,,,,,info@assist-x.com,https://www.linkedin.com/company/ai-assist-x,https://www.assist-x.com,,,,,2023-01-01,year,Active,"Assist-x offers Artificial Intelligence, Website Design, Digital Marketing, and Hosting services.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Associazione Italiana Psicologia Ambientale e Architettonica,https://www.crunchbase.com/organization/associazione-italiana-psicologia-ambientale-e-architettonica,Private,Non-profit,"Architecture, Consulting, Non Profit",11-50,"Milan, Lombardia, Italy","3,747,425",,"3,648,555",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other, Professional Services, Real Estate, Social Impact",,,,,,,,info@aipaa.eu,https://www.linkedin.com/company/aipaa-associazione-italiana-psicologia-ambientale-e-architettonica/,http://www.aipaa.eu,,,,,2019-01-01,year,Active,Associazione Italiana Psicologia Ambientale e Architettonica focuses on consultancy and design for architectural and landscaping.,,20131,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Associazione Torino Digital Days,https://www.crunchbase.com/organization/associazione-torino-digital-days,Private,Non-profit,"Association, Event Management, Non Profit",11-50,"Turin, Piemonte, Italy","2,932,440",,"2,854,773",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Events, Media and Entertainment, Other, Social Impact",,,,,,,,info@digitaldays.it,https://www.linkedin.com/company/torinodigitaldays/,https://digitaldays.it/,,,,,2019-01-01,year,Active,Associazione Torino Digital Days is a non-profit association that specializes in organizing events regarding digital transformation.,$1M to $10M,10100,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Assodelivery,https://www.crunchbase.com/organization/assodelivery,Private,For Profit,"Consulting, Food and Beverage, Food Delivery",51-100,"Milan, Lombardia, Italy","2,353,223",,"2,284,315",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni Imburgia,1.0,"Food and Beverage, Professional Services, Transportation",,,,,,,,secretarygenerale@assodelivery.it,https://www.linkedin.com/company/assodelivery/,https://www.assodelivery.it,,,,,2018-01-01,year,Active,Assodelivery is a food and beverages company that offers platform for food delivery industry sectors.,$1M to $10M,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
ATE Clinics,https://www.crunchbase.com/organization/ate-clinics,Private,For Profit,"Dental, Health Care, Hospital, Outpatient Care",11-50,"Turin, Piemonte, Italy","2,151,699",,"2,085,703",,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Care,,,,,,,+39 011 1948 0374,info@ateclinics.it,https://www.linkedin.com/company/a-te-clinics,https://www.ateclinics.com,,,,,2019-01-01,year,Active,"ATE Clinics is a healthcare center that specializes in dental care, plastic surgery, and bone regeneration services.",$1M to $10M,10154,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
AutoInRete,https://www.crunchbase.com/organization/autoinrete,Private,For Profit,E-Commerce,11-50,"Milan, Lombardia, Italy","1,119,214",,"1,070,315",,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce and Shopping,,,,,,,,info@autoinrete.com,https://www.linkedin.com/company/autoinrete/,https://www.autoinrete.com,,,,,2018-09-16,day,Active,B2B Automotive Marketplace for used cars,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Avo Brothers,https://www.crunchbase.com/organization/avo-brothers,Private,For Profit,"Food and Beverage, Restaurants, Snack Food",11-50,"Milan, Lombardia, Italy","1,113,632",,"1,064,866",,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food and Beverage,,,,,,"offers its customers Arabica specialty coffee provided by Rationale Coffee. Together, the two brands have studied a unique blend of Arabica. A coffee also with low acidity and warm notes of dried fruit and chocolate, coffee that changes depending on availability and current harvests. With the increase in avocado consumption in Western countries, many non-environmentally conscious companies contribute to deforestation, excessive water consumption and contamination of rich ecosystems",+39 0249502504,hello@avobrothers.com,https://www.linkedin.com/company/avo-brothers,https://avobrothers.com,,,,,2019-01-01,year,Active,Avo Brothers is a restaurant.,$1M to $10M,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Avvalimenti,https://www.crunchbase.com/organization/avvalimenti,Private,For Profit,"Communities, Construction, Non Profit",1-10,"Rome, Lazio, Italy","1,769,374",,"1,709,044",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community and Lifestyle, Other, Real Estate, Social Impact",,,,,,,+39 393 837 5135,realitaly.pcc@gmail.com,,https://www.avvalimenti.it,,,,,2018-10-16,day,Active,Avvalimenti is a network of non-profit organisations that functions in the welfare of the construction and associated companies,Less than $1M,186,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
