Organization Name,Organization Name URL,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Monthly Visits,Headquarters Regions,Postal Code,Diversity Spotlight,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Contact Job Departments,Number of Contacts,Number of Private Contacts,Average Visits (6 months),Monthly Visits Growth,Estimated Revenue Range,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
4Care,https://www.crunchbase.com/organization/4care-782b,"4Care (For Care SpA), a digital distribution platform for group insurance solutions, provides insurance services aimed at supporting employee and customer well-being. The company's platform incorporates wellness initiatives and prevention strategies, allowing employers to improve health outcomes while lowering total healthcare expenditures.",https://4careitalia.it,"Consulting, Financial Services, Insurance","Segrate, Lombardia, Italy",4Care is a digital distribution platform that offers companies and associations insurance solutions for their employees or customers.,"345,041",,,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20054,,Active,2025-02-09,day,,,For Profit,,https://www.facebook.com/4careitalia,https://www.linkedin.com/company/for-care-s-p-a/,4-care@legalmail.it,+39 02 9713 1161,,,,,,,,,,,,,,,,"Financial Services, Professional Services",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Dem.it,https://www.crunchbase.com/organization/4dem-it,"4Dem is an Italian platform for email, SMS, and marketing automation.",https://4dem.it,"Advertising, Email Marketing, Marketing Automation","Torino, Piemonte, Italy","4Dem is an Italian platform for email, SMS, and marketing automation.","279,430",2014-03-08,day,11-50,"133,614","European Union (EU), Europe, Middle East, and Africa (EMEA)",10122,,Active,2023-03-01,day,,,For Profit,,https://www.facebook.com/4Dem.it/,https://www.linkedin.com/company/4demit/,nicola.furnari@4dem.it,,,,,,,,,,,,,,,,,"Advertising, Sales and Marketing, Software",,,,M&A,,,,,,,,,"176,339",-42.35%,,,,,,,,,,,,,,,,,,,,
6sicuro,https://www.crunchbase.com/organization/6sicuro-it,"6sicuro is a provider of online insurance services designed to compare prices of mortgages and insurance products. The company's online insurance services develop a digital platform that compares prices of insurance cars and motorcycles, enabling users to choose and buy the best insurance to fulfill their needs.",http://6sicuro.it,"Finance, Financial Services, FinTech, Insurance, Price Comparison","Milan, Lombardia, Italy","6sicuro provides online insurance services and helps people compare, choose and buy the best insurance for their needs.","512,388",2000-01-01,year,11-50,"155,881","European Union (EU), Europe, Middle East, and Africa (EMEA)",20129,,Active,2020-02-14,day,,,For Profit,http://twitter.com/6sicuro,http://www.facebook.com/6sicuro,https://www.linkedin.com/company/1137612/,info@6sicuro.it,,,,,1,,,,,,,,,,,,"Commerce and Shopping, Financial Services",1,Giuseppe Mazzoni,1,M&A,2012-03-14,2400000,EUR,3127358,Venture - Series Unknown,Management,2,,"116,263.83",38.85%,$1M to $10M,,,,,,,2400000,EUR,3127358,Venture - Series Unknown,2400000,EUR,3127358,2400000,EUR,3127358,Principia SGR,1,1
700+ CLUB,https://www.crunchbase.com/organization/700-plus-club,Helping motivated students get into top schools worldwide.,https://www.700plus.club/,"Education, Higher Education, Training, Tutoring","Milano, Lombardia, Italy","Edtech, Test prep, Admission Consulting","1,097,803",2019-01-01,month,11-50,"1,200","European Union (EU), Europe, Middle East, and Africa (EMEA)",20123,,Active,2021-06-08,day,,,For Profit,,https://www.facebook.com/700plus.CLUB/,https://www.linkedin.com/company/700plusclub/,Contact@700plus.club,,,,,,,,,,,,,,,,,Education,1,Anshul Bhat,,M&A,,,,,,"Marketing, Pro Services, Sales",3,,,-73.96%,,,,,,,,,,,,,,,,,,,,
7Pixel,https://www.crunchbase.com/organization/7pixel,"7Pixel was founded 2002 and with the idea to combine technological know-how and economic competencies. It owns both www.trovaprezzi.it and www.shoppydoo.com the two leading comparison engines on the italian market. 7Pixel expanded the brand Shoppydoo successfully also to Spain and Brasil with www.shoppydoo.com.br es.shoppydoo.com.  • Trovaprezzi.it is Italy's largest product and price-comparison website and one of the most trusted e-commerce advertising platforms available.  • We offer customers the possibility to compare prices and products combined with a multitude of customer-oriented services on mobile and online platforms.  • On our network we have more then 9 Million monthly visitors and more than 2000 active merchants. Merchants can count on high conversions and for our customers we have more than 6 million offers available.  • The high number of products offered on our comparison engine covers all the product categories including: computers, electronics, telecommunications, houshold appliances, baby&nursery, office supplies and many more. We are able to satisfy the demands of all our users whilst ensuring the easiness of use and a real comparison of the products and the prices.",http://www.7pixel.it/,"Advertising Platforms, E-Commerce, Internet, Price Comparison","Pavia, Lombardia, Italy",7Pixel was founded 2002 and with the idea to combine technological know-how and economic competencies.,"591,370",2002-01-01,year,51-100,"28,599","European Union (EU), Europe, Middle East, and Africa (EMEA)",27010,,Active,2015-03-13,day,,,For Profit,http://twitter.com/7PixelDevs,,http://www.linkedin.com/company/7-pixel-s.r.l.,,,,,,,,,,,,,,,,,,"Advertising, Commerce and Shopping, Internet Services",1,Karim Ricciardi,,M&A,,,,,,,,,,24.38%,,,,,,,,,,,,,,,,,,,,
A&P Consulting,https://www.crunchbase.com/organization/a-p-consulting,"A&P Consulting is an erwin company that offers high-impact corporate and data governance consulting services. The company has more than 15 years of experience providing integrated governance solutions to some of Italy’s largest organizations such as the government, telecom and energy providers, major retailers, infrastructure providers and insurance companies. Some of their services include: Enterprise Architecture, Business Process Modeling, Data Modeling, Governance, Risk and Compliance and Technology Consulting. ",http://www.aepconsulting.it/en/,"Compliance, Data Governance, Government, Information Services, Information Technology, Management Information Systems","Roma, Lazio, Italy",A&P Consulting is an erwin company that offers high-impact corporate and data governance consulting services.,"998,110",2000-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,2018-01-12,day,2018-01-12,day,For Profit,https://twitter.com/AePCons,,https://www.linkedin.com/company/a-&-p-consulting/,,(+39) 0689929040,,,,,,,,,,,,,,,,"Data and Analytics, Government and Military, Information Technology, Professional Services",,,,M&A,,,,,,Engineering,4,,,,,,,,,,,,,,,,,,,,,,,
A&T,https://www.crunchbase.com/organization/a-t-72d2,"A&T is an advertising firm that provides rapid prototyping, logistics, special machines, logistics, digitization, and tools services.",https://www.aetevent.com/,"Advertising, Aerospace, Industrial Automation","Turin, Piemonte, Italy","A&T is an advertising firm that provides rapid prototyping, logistics, special machines, logistics, digitization, and tools services.","1,541,464",2007-01-01,year,11-50,"43,973","European Union (EU), Europe, Middle East, and Africa (EMEA)",10138,,Active,2023-10-18,day,,,For Profit,,,https://www.linkedin.com/company/a&t---together-to-solve/,info@aetevent.com,+39 011 02.66.700,,,,,,,,,,,,,,,,"Advertising, Manufacturing, Sales and Marketing, Science and Engineering",,,,M&A,,,,,,,,,,-84.78%,,,,,,,,,,,,,,,,,,,,
A+A Monferrato,https://www.crunchbase.com/organization/a-a-monferrato,"A+A Monferrato is a privately held company that markets products for the safety and health of workers at workplaces. The company offer the best of world-wide production, a very wide range through which companies are able to comply with European regulations requiring companies to equip their workers with the most suitable tools to avoid any kind of accident.",http://www.aamonferrato.com,"Consumer Goods, Public Safety, Retail","Grugliasco, Piemonte, Italy",A+A Monferrato is a privately held company that markets products for the safety and health of workers at workplaces.,"1,622,798",1960-01-01,year,,"2,322","European Union (EU), Europe, Middle East, and Africa (EMEA)",10095,,Active,2016-01-18,day,,,For Profit,,https://www.facebook.com/aamonferrato,https://www.linkedin.com/company/a-a-monferrato-s-p-a,info@aamonferrato.com,+39 011 3014 211,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Government and Military",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.M.F,https://www.crunchbase.com/organization/a-m-f,"A.M.F produces metal and non metal accessories for garment, shoes and leather goods that adorne the most products of the most famous international brands. The company is renewed for the quality of its products and of its customer service: from the exceptional creative development of the trim, to the precise production, to the efficient.",https://www.amfsnaps.com/en/,"Consumer Goods, Fashion, Industrial, Lifestyle, Manufacturing, Shoes","Bassano Del Grappa, Veneto, Italy","A.M.F produces metal and non metal accessories for garment, shoes and leather goods.","391,753",1996-01-01,year,251-500,978,"European Union (EU), Europe, Middle East, and Africa (EMEA)",36061,,Active,2019-07-18,day,,,For Profit,,https://www.facebook.com/AMFSNAPS/,https://www.linkedin.com/company/a.m.f.-snaps,info@amfsnaps.com,390 424 8808,,,,,,,,,,,,,,,,"Clothing and Apparel, Community and Lifestyle, Consumer Goods, Design, Manufacturing",1,Andreas Faerber,,M&A,,,,,,Operations,5,,,-99.82%,$1M to $10M,,,,,,,,,,,,,,,,,,,
Abaco S.P.A,https://www.crunchbase.com/organization/abaco-group,Abaco is development of agricultural markets in the direction of technology and new challenges in sustainable development imply continued evolution.,https://www.abacogroup.eu/,"AgTech, Cloud Management, Mobile Apps, Real Estate, Software, Trading Platform","Mantua, Lombardia, Italy",Abaco is a software company working with clients in the field of land management solutions.,"366,918",1990-01-01,year,51-100,"18,087","European Union (EU), Europe, Middle East, and Africa (EMEA)",46100,,Active,2019-06-04,day,,,For Profit,,,https://www.linkedin.com/company/abaco-spa,info@abacogroup.eu,39 0376 222181,,,,,,,,,,,,,,,,"Agriculture and Farming, Apps, Financial Services, Information Technology, Internet Services, Lending and Investments, Mobile, Real Estate, Software",1,Alberto Iori,1,M&A,2019-06-11,,,,Undisclosed,,,,,104.60%,,,,,,,,,,,Undisclosed,,,,,,,,,
Abafoods,https://www.crunchbase.com/organization/abafoods,"Abafoods is a European expert in organic vegetal drinks. It produces a range of cereal drinks using rice, coconut, almond, oat, spelt and soy. The company has strong R&D capabilities delivering new concepts and innovative packaging. It operates an advanced manufacturing plant in Badia Polesine (Italy) and owns and manages around 400 hectares of organic farm land in Italy to partly grow its raw materials.",http://www.abafoods.it,"Food and Beverage, Snack Food","Badia Polesine, Veneto, Italy",Abafoods is a European expert in organic vegetal drinks.,"1,569,162",1997-01-01,year,101-250,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",RO 45021,,Active,2015-01-16,day,,,For Profit,,,https://www.linkedin.com/company/abafoods-s.r.l.,abafoods@abafoods.it,+39 0425 594489,,,,,,,,,,,,,,,,Food and Beverage,,,,M&A,,,,,,"Management, Sales",3,,,,,,,,,,,,,,,,,,,,,,,
ABB Product Group Solar,https://www.crunchbase.com/organization/abb-product-group-solar,ABB Product Group Solar is a solar inverter business.,http://www.abb.com/solarinverters,"Energy, Environmental Engineering, Renewable Energy","Arezzo, Toscana, Italy",ABB Product Group Solar is a solar inverter business.,"977,968",1973-01-01,year,10001+,"3,647,837","European Union (EU), Europe, Middle East, and Africa (EMEA)",52028,,Active,2020-03-02,day,,,For Profit,,,https://www.linkedin.com/company/abbsolarinverters,,,,,,,,,,,,,,,,,,"Energy, Science and Engineering, Sustainability",,,,M&A,,,,,,"Engineering, Legal, Operations",29,,"3,511,656",15.30%,,,,,,,,,,,,,,,,,,,,
ABC Morini,https://www.crunchbase.com/organization/abc-morini,ABC Morini is a wholesale supplier of metallics accessories for leather goods worldwide.,https://www.abcmorini.net/,Wholesale,"Scandicci, Toscana, Italy",ABC Morini is a wholesale supplier of metallics accessories for leather goods worldwide.,"1,393,111",,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",50018,,Active,2020-05-20,day,,,For Profit,,https://www.facebook.com/ABC-Morini-198827207258023/,,abcmorini@legalmail.it,(+39) 055 722571,1,,,,,,,,,,,,,,,Commerce and Shopping,,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abich,https://www.crunchbase.com/organization/abich,"Abich is a contract research organization (CRO) that has been providing research and analysis services for the industry for more than a decade, focusing mainly on manufacturers of cosmetics, medical devices and other consumer products. Abich has developed within itself a clinical division expressly dedicated to safety, tolerability and efficacy tests on healthy volunteers. The company is also equipped with biological cell laboratories, microbiology and chemistry, and is able to perform highly specialized tests or to interact for complex broad-spectrum analyzes. Abich cell biology laboratories have developed numerous in vitro safety tests alternative to the use of animals and in accordance with OECD methods, employing specific cell lines and advanced models such as human tissues reconstructed in vivo. The sector is also able to provide a wide range of efficacy tests to support and complete the research and development of cosmetic products, drugs, medical devices, flavorings, supplements, foods and detergents. The analytical chemistry sector has developed in years of analysis activities and specific protocols suitable for quality control of finished products and raw materials, and is also able to provide accurate analysis thanks to advanced systems such as HPLC, Ultra-HPLC, GC-MS and ICP-OES. The microbiology laboratory provides services related to the quantification, research and identification of specific micro-organisms, as well as challenge tests, analysis of antibacterial activity and mutagenesis tests. The ABICH staff, including biologists, CTF chemists, biotechnologists and biomedical engineers, are available to their clients to develop study protocols and customized analytical methods.",http://www.abich.it/it/abich.aspx,"Biotechnology, Consumer Research, Cosmetics, Medical, Medical Device, Pharmaceutical, Product Research","Vimodrone, Lombardia, Italy","Abich provides research and analysis services on manufacturers of cosmetics, medical devices and other consumer products.","165,593",2002-01-01,year,501-1000,258,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2021-11-25,day,,,For Profit,,https://www.facebook.com/abichitalia/,https://www.linkedin.com/company/5151648/,info@abich.ca,+1 514-507-9982,,,,,,,,,,,,,,,,"Biotechnology, Consumer Goods, Data and Analytics, Design, Health Care, Science and Engineering",1,Stefano Todeschi,1,M&A,2016-06-01,50000,EUR,55926,Grant,,,,,933.91%,$1M to $10M,,,,,,,,,,,,,,50000,EUR,55926,EASME,,1
ABL S.r.l.,https://www.crunchbase.com/organization/abl-s-r-l,"ABL S.r.l. is a construction of machines for processing fruit to be consumed fresh. ABL since 1978 deals with the production of machines for processing fruit  that meet different needs, capable of transforming the desired fruit according to customer needs. The ABL target  is represented by companies of the canning industry, of industrial confectionery, dehydration and fresh cut: ABL 's fruit processing plants are able to process any type of fruit and processing in the best possible way. The company has grown over the years establishing itself as a great international reality and counting among its customers the most prestigious names on the international scene. ABL peelers, cutters, slicers and poppers have been realized with innovative technologies and always with an eye to the future to be able to seize the new requests proposed by the market.",http://www.ablcavezzo.it/,"Fruit, Machinery Manufacturing","Cavezzo, Emilia-Romagna, Italy",ABL S.r.l. is a construction of machines for processing fruit to be consumed fresh.,"937,981",1978-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",MO 41032,,Active,2019-07-12,day,,,For Profit,,https://www.facebook.com/ABL.ITALY/,https://www.linkedin.com/company/ablcavezzo/?originalSubdomain=it,,+39 053 558927,,,,,,,,,,,,,,,,"Food and Beverage, Manufacturing",,,1,M&A,2015-04-07,,,,Private Equity,,,,,,,,,,,,,,,,Private Equity,,,,,,,Finint Investments,,1
ABM Italia,https://www.crunchbase.com/organization/abm-italia,"ABM Italia S.p.A. is a group of manufacturing and sales industries established 1972 and based in Ormelle, in the Northern Italian province of Treviso.  The Group includes seven member companies, all with an international presence and all specializing in different sectors.",http://www.abmitalia.com/,"Consumer, Manufacturing, Plastics and Rubber Manufacturing","Treviso, Veneto, Italy",ABM Italia is a group of manufacturing and sales industries.,"1,160,634",1972-01-01,year,251-500,92,"European Union (EU), Europe, Middle East, and Africa (EMEA)",31024,,Active,2016-12-06,day,,,For Profit,,,https://www.linkedin.com/company/a.b.m.-italia-spa,info@abmitalia.com,+390422745900,,,,,,,,,,,,,,,,"Manufacturing, Other",1,Lucio Spadotto,,M&A,,,,,,Operations,1,,,,,,,,,,,,,,,,,,,,,,,
Absolute,https://www.crunchbase.com/organization/absolute-e620,"Absolute is a manufacturing for pleasure powerboats. They provides yachts design, all their products have refined beauty, versatility, and uncompromised functionality. For every detail is thoroughly designed,  elegant finishes, ergonomic spaces, top-notch materials, wide and comfortable cabins, ease of maneuverability, and plenty of solutions.",https://www.absoluteyachts.com,"Boating, Manufacturing, Transportation","Podenzano, Emilia-Romagna, Italy",Absolute designs and builds yachts.,"839,456",2002-01-01,year,101-250,"11,393","European Union (EU), Europe, Middle East, and Africa (EMEA)",29027,,Active,2024-06-25,day,,,For Profit,https://twitter.com/absoluteyachthk,https://www.facebook.com/AbsoluteYachtsSpA/,https://www.linkedin.com/company/absolute-yachts/,marketing@absoluteyachts.com,+39 052 335 4011,,,,,,,,,,,,,,,,"Manufacturing, Sports, Transportation",,,,M&A,,,,,,,3,,,-52.42%,$50M to $100M,,,,,,,,,,,,,,,,,,,
Absolute Energy,https://www.crunchbase.com/organization/absolute-energy,,http://ae-capital.com,"Energy, Energy Storage, Environmental Engineering, Renewable Energy","Roma, Lazio, Italy",Absolute Energy is a solar energy firm that offers renewable energies and environmental technologies services.,"526,581",2009-01-01,year,1-10,50,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2023-10-04,day,,,For Profit,,https://www.facebook.com/AbsoluteEnergy.Italy,https://www.linkedin.com/company/absolute-energy-for-development,info@ae-capital.com,39-06-8676-5686,2,,,,,,,,,,,,,,,"Energy, Science and Engineering, Sustainability",,,,M&A,,,,,,Engineering,5,,,-97.88%,,,,,,,,,,,,,,,,,,,,
AC Milan,https://www.crunchbase.com/organization/ac-milan,"AC Milan is a professional football club that takes part in various championship leagues in Europe and Italy. It has won the following trophies: 18 Italian League titles, 1 FIFA Club World Cup, 7 UEFA Champions League, 3 Intercontinental Cups, 5 UEFA Super Cup, 7 Italian League Supercups, 5 Italian League Cups, and 2 UEFA Cup Winners'​ Cups. It was established in 1899 and is based in Milan, Italy.",https://207.148.78.109/,"Association, Soccer, Sports, Sports Leagues and Teams","Milan, Lombardia, Italy",AC Milan is a professional football club that takes part in various championship leagues in Europe and Italy.,"111,707",1899-12-16,day,501-1000,"961,758","European Union (EU), Europe, Middle East, and Africa (EMEA)",20149,,Active,2022-06-01,day,,,For Profit,https://twitter.com/acmilan,https://www.facebook.com/ACMilan,https://www.linkedin.com/company/ac-milan,,,204,,,,,,,,,,,,,,,"Other, Sports",1,Herbert Kilpin,,M&A,,,,,,"Engineering, Management, Operations",18,,,-29.39%,$100M to $500M,,,,,,,,,,,,,,,,,,,
