Organization Name,Organization Name URL,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Monthly Visits,Headquarters Regions,Postal Code,Diversity Spotlight,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Contact Job Departments,Number of Contacts,Number of Private Contacts,Average Visits (6 months),Monthly Visits Growth,Estimated Revenue Range,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
ABCtribe.com,https://www.crunchbase.com/organization/abctribe-com,"ABCtribe.com is a social network for students, to share and exchange notes, materials and information and grow your network of resources. Points can be earned by helping users and can be sold or used to obtain materials in return.",http://www.ABCtribe.com,"Communities, Education, Universities","Milan, Lombardia, Italy","ABCtribe.com is a social network for students to share and exchange notes, materials and information to create a network of resources.","3,256,818",2010-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,http://twitter.com/abctribe_com,https://www.facebook.com/studenti.universita.superiori.appunti,,info@abctribe.com,,,,,,,,,,,,,,,,,"Community and Lifestyle, Education, Other",,,,,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
Acanthus Coop,https://www.crunchbase.com/organization/acanthus-coop,,http://www.acanthuscoop.it,"Agriculture, Biotechnology","Olmedo, Sardegna, Italy","Design, services and activities relating to the production processes in agriculture, environment and biotechnology.","3,697,837",,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",7040,,Closed,,,,none,For Profit,,https://www.facebook.com/acanthuscoop,,acanthuscoop@gmail.com,+39079902208,,,,,,,,,,,,,,,,"Agriculture and Farming, Biotechnology, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achenproperties,https://www.crunchbase.com/organization/achenproperties,Achenproperties is a rental property listing website. Searching and listing properties is free and easy. Achenproperties also sells moving supplies at discount prices.,http://achenproperties.com,Real Estate,"Sant'angelo, Molise, Italy",Rental Property Listings,"3,709,285",,,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,,,,machenbach@achenproperties.com,,,,,,,,,,,,,,,,,Real Estate,,,,,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
ACM Tech,https://www.crunchbase.com/organization/acm-tech,"Hardware, Software and Landline telephone",http://www.acmtech.it,"Hardware, Software, Telecommunications","Cuneo, Piemonte, Italy","Hardware, Software and Landline telephone","1,570,537",2007-03-07,day,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",12100,,Closed,,,,none,For Profit,,,,info@acmtech.it,+390171605458,,,,,,,,,,,,,,,,"Hardware, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acme,https://www.crunchbase.com/organization/acme-94b3,"Acme S.R.L. is manufactures and supplies concrete pump accessories, piping, and related products for construction industry. It offers components for delivery, interception, deviation, and distribution of concrete. The company offers pump primer, motorized concrete placer, and induction hardened pipes. Its products include connecting systems; couplings, gaskets, and weld on; steel pipes, bends, and reducers; rubber hoses, fittings, and clamps; nozzles for shot-creting; tunneling equipment; spare parts; items for cleaning pipes; shut-off and diversion valves; concrete placement booms; and support for pipes and hoses.",http://concretepumping.acme-it.com/,"Construction, Industrial, Machinery Manufacturing, Manufacturing","Cinisello Balsamo, Lombardia, Italy","Acme is manufactures and supplies concrete pump accessories, piping, and related products for construction industry.","3,200,701",1973-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20092,,Closed,2014-08-06,day,2014-08-06,day,For Profit,,,,,+39 026 184461,,,,,,,,,,,,,,,,"Manufacturing, Real Estate",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Action Crowd,https://www.crunchbase.com/organization/action-crowd,"Action Crowd srl, (originally Assiteca Crowd srl) is a company, based in Milan, authorized by  Consob  (website No. 18809 of 26 February 2014.) to carry out, through its web platform, equity crowdfunding activities (collection of public savings in favor of innovative start-ups). After the profitable activity carried out in this area, with a collection in favor of Startups or Italian SMEs during the first two years of activity of around one million euro, at the beginning of 2017 it gave rise to this second platform which intends to support projects characterized by a strong social impact. Even though the management of this donor platform has been premised, the requirements of professionalism (presence of a structured managerial path) and honorability (absence of criminal proceedings) provided for by the Consob regulation on the matter exist. ",https://www.actioncrowd.it,"Crowdfunding, Financial Services","Milano, Lombardia, Italy",Action Crowd srl is one of the first and main crowdfunding platforms.,"2,990,684",2014-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,https://twitter.com/Actioncrowd,https://www.facebook.com/pg/actioncrowdfunding,https://www.linkedin.com/company/27096346/,,+39 0276000947,,,,,,,,,,,,,,,,Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM,https://www.crunchbase.com/organization/adam-2,"ADAM is a spin-off company of the University of Salento, born in the wake of a group of physicists, computer scientists, medical doctors, who have to their credit a common experience in the field of Physics and Informatics in Medicine. The members of the group come from the University of Salento, but also from other institutions, in particular the University Vita-Salute San Raffaele in Milan, the University of Camerino, Ecomedica Ltd. Empoli.",http://www.adamgroup.it/,"Medical, Software","Lecce, Puglia, Italy",Software solutions for medical diagnostics.,"1,079,001",,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",73100,,Closed,,,,none,For Profit,,,,,,206,,,,,,,,,,,,,,,"Health Care, Software",,,,,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
adoroletuefoto,https://www.crunchbase.com/organization/adoroletuefoto,"Adoroletuefoto is a web-based photo community that offers online photo contests for photographers. The community enables beginner photographers, as well as senior photographers to participate in contests provided by the community and improve their technical and artistic skills. The jury for the contests is made up of all users and a selection of professional photographers. Adoroletuefoto was launched on January 10, 2011.",http://adoroletuefoto.it,"Photo Sharing, Photography","Bologna, Emilia-Romagna, Italy",Adoroletuefoto is a web-based photo community that offers online photo contests for photographers.,"2,728,568",2011-01-10,day,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,http://twitter.com/adoroletuefoto,http://www.facebook.com/adoroletuefoto,,marco@adoroletuefoto.it,+393467433235,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment",1,Marco Govoni,,,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
Adriacell,https://www.crunchbase.com/organization/adriacell,"Adriacell is a biotech company whose focus is the development of solutions (treatment and diagnostics) for tumors characterized by low probability of survival for patients and of anti infective agents. It leverages its efforts and scientific expertise to (i) develop a new class of anti-tumor therapeutics and (ii) create a series of powerful diagnostics for the early detection of cancer progression. The company is also developing new and highly powerful delivery solutions through small molecules as the basis for a new class of anti-infective drugs.  Adriacell owns a patented system that can be used for the study of events subsequent to DNA double strand breaks, which is a very important issue for cancer research and diagnostics.  The company is currently evaluating a new class of therapeutics for cancer; its main compound is about to enter the pharmacokinetic and toxicology phases.",http://www.adriacell.com,"Biotechnology, Health Diagnostics","Basovizza, Friuli-Venezia Giulia, Italy",Anti-tumor therapeutics,"1,756,591",2004-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",34012,,Closed,,,,none,For Profit,,,,info@adriacell.com,215-538-1983,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADS Assembly Data System,https://www.crunchbase.com/organization/ads-assembly-data-system-s-p-a,"ADS − Assembly Data System  S.p.A. − is an Italian prime System Integrator company operating within Telco, IT, Energy and Civil engineering sectors. Founded in 1987, ADS evolved continuously by investing in research & innovation. Particular focus has been paid about relationship with Universities, Business Schools and IT Academies. Today ADS is a competent, flexible and market fitting company counting about 1000 payrolls. Operations are managed mainly in Italy but also secured in several Mediterranean countries and South America.",http://www.assembly.it/,Telecommunications,"Pomezia, Lazio, Italy",Assembly Data System is a prime System Integrator company.,"2,266,075",1987-01-01,year,1001-5000,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,,,https://www.linkedin.com/company/assembly-data-system,,,,,,,,,,,,,,,,,,Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance Sim,https://www.crunchbase.com/organization/advance-sim,"Advance Sim is a platform that provides financial advisory services dedicated to small and medium enterprises. The company has become a reference point for companies in the Italian Mid Market with a turnover of between 10 and 250 million euros. Advance Sim was founded on 2015 and is headquartered in Milan, Italy.",http://www.advancesim.it,"Financial Services, Small and Medium Businesses, Social Entrepreneurship","Milan, Lombardia, Italy",Advance Sim is a platform that provides financial advisory services dedicated to small and medium enterprises.,"2,900,189",2015-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20121,,Closed,,,,none,For Profit,,,,info@advancesim.it,+39 02 3657 4590,,,,,,,,,,,,,,,,"Community and Lifestyle, Financial Services, Other, Social Impact",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Aviation Technology,https://www.crunchbase.com/organization/advanced-aviation-technology,"Advanced Aviation Technology - A2Tech, with headquarter in Peschiera del Garda, Italy, A2Tech is a R&D Think Tank company providing innovative systems, products and solutions in unmanned systems and video surveillance management systems, and technical services to commercial customers worldwide. Their core competencies are aligned with the current and future needs of their customers and address emerging challenges in key areas, such industrial grade remote piloted helicopters and multirotors, ergonomic human machine interfaces, wireless surveillance video transfer and management systems. All their unmanned solutions are core based on the CANaerospace Command & Control (C2) protocol, a free available and royality free upper layer aviation protocol for the CAN bus, developed by Stock Flight Systems. A2Tech and its Technology Partners (Wetzel Technologies, Stock Flight Systems, Reiser Systemtechnik) have focused on the development of a new generation of Universal Ground Control Cockpit (UGCC), branded ""RealityVISION - Unmanned Vehicle Pilot Systems"", a modular Avionic Suite branded DARWIN A3 - Advanced Avionic Architecture, driven by CANaerospace and ARINC-825.",http://www.a2tech.eu,"Computer, Drones, Information Technology, Manufacturing, Robotics, Security","Garda, Trentino-Alto Adige, Italy","A2Tech is a R&D Think Tank company providing innovative systems, products and solutions in unmanned systems.","2,863,281",2007-01-01,year,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",VR 37019,,Closed,,,,none,For Profit,,https://www.facebook.com/A2TECH01,https://www.linkedin.com/company/advanced-aviation-technology---a2tech,,+390452063639,6,,,,,,,,,,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Composites,https://www.crunchbase.com/organization/advanced-composites,"Advanced Composites is a manufacturer and supplier of composite centralizers and other composite products. The company's manufacturing facility is located in Ravenna, Italy. It has additional offices in Aberdeen, Scotland and Lucerne, Switzerland. Advanced Composites services customers globally.",http://www.advancedcomps.com/,"Manufacturing, Oil and Gas","Ravenna, Emilia-Romagna, Italy",An Italy–based manufacturer of composite centralizers and other composite products used primarily in downhole oilfield applications.,"1,095,655",1999-01-01,year,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",48100,,Closed,2014-07-15,day,2014-07-15,day,For Profit,,,,,,6,,,,,,,,,,,,,,,"Energy, Manufacturing, Natural Resources",,,,M&A,,,,,,"Engineering, Finance, Human Resources, Information Technology, Management, Operations, Product, Sales",24,,,,,,,,,,,,,,,,,,,,,,,
Advanced Computer Systems,https://www.crunchbase.com/organization/advanced-computer-systems-375f,"Advanced Computer Systems designs and implementation of systems for satellite remote sensing and exploitation of satellite data. Their core business is the development of technologies and systems for remote sensing data exploitations. They design and develop advanced EO solutions since 1979, a year in which the company was founded.",http://www.acsys.it,"Remote Sensing, Sensor","Rome, Lazio, Italy",Advanced Computer Systems designs and implementation of systems for satellite remote sensing and exploitation of satellite data.,"1,808,630",1979-01-01,year,101-250,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",139,,Closed,,,,none,For Profit,,https://www.facebook.com/acsinformatica.it/,https://www.linkedin.com/company/advanced-computer-systems,,+39 06 870901,,,,,,,,,,,,,,,,Hardware,1,William Pedigo,1,,2015-03-01,71429,EUR,79879,Grant,"Engineering, Management, Operations",10,,,,,,,,,,,,,,,,,,71429,EUR,79879,EASME,,1
Advantech s.r.l.,https://www.crunchbase.com/organization/advantech-s-r-l,"ADVANTECH, a spin-off of the University of Salento, born and based on the expertise gained from the research staff of the laboratories Collaborative Product Design Management and Lab Technologies and Systems for the processing in the context of research and development programs of the highest training and industrial doctorates acquired on a competitive basis and carried out completely in the public private mode.",http://www.advantech-like.com,"3D Printing, Biotechnology, CAD, Consulting, Information Technology, Manufacturing, Robotics","Lecce Nei Marsi, Abruzzi, Italy","Advantech S.R.L. is a technical company combining engineering, IT, and manufacturing.","3,471,104",2010-03-25,day,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,,,,none,For Profit,,,,info@advantech-like.com,,,,,,,,,,,,,,,,,"Biotechnology, Design, Hardware, Information Technology, Manufacturing, Professional Services, Science and Engineering, Software",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEB Frames,https://www.crunchbase.com/organization/aeb-frames,AEB Frames is manufactures windows and doors.,http://www.aeb-world.com/,"Building Material, Manufacturing","Venturina, Toscana, Italy",AEB Frames is manufactures windows and doors.,"1,854,313",,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",57029,,Closed,,,,none,For Profit,,,,,+39 0565 85 51 40,,,,,,,,,,,,,,,,"Manufacturing, Real Estate",,,1,,2004-01-01,,,,Venture - Series Unknown,,,,,,$1M to $10M,,,,,,,,,,Venture - Series Unknown,,,,,,,Sviluppo Imprese Centro Italia,1,1
Aferpi,https://www.crunchbase.com/organization/aferpi,"AFERPI is an iron and steel company of new constitution, leader in the Italian market. It is part of the Algerian Group Cevital operating in different sectors from food, automotive, industry and logistics. Aferpi S.p.A has an old tradition, from the XIX Century till now with the production and distribution of Rails, Wire Rod and Bars.",http://www.aferpi.it/,"Manufacturing, Mining, Precious Metals","Piombino, Toscana, Italy","AFERPI, Acciaierie e Ferriere di Piombino is a steel company","1,345,000",2015-01-01,year,1001-5000,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,2018-05-18,day,,none,For Profit,,https://www.facebook.com/aferpi/,https://www.linkedin.com/company/aferpi-acciaierie-e-ferriere-di-piombino-s.p.a./,info@aferpi.com,,,,,,,,,,,,,,,,,"Manufacturing, Natural Resources",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agfa Graphics s.r.l,https://www.crunchbase.com/organization/agfa-graphics-s-r-l,Agfa Graphics s.r.l is a privately owned company that produces printing plates and manufactures related chemicals and equipment.,https://www.agfagraphics.com,Manufacturing,"San Pietro Di Stra, Veneto, Italy",Agfa Graphics s.r.l is a privately owned company that produces printing plates and manufactures related chemicals and equipment.,"3,169,399",1969-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",VR 37050,,Closed,2004-04-01,day,,none,For Profit,,,,,39 04 56 99 75 55,1,,,,,,,,,,,,,,,Manufacturing,,,,M&A,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
