,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
25.,TESSERA S.C. A R.L.,IT02579690062,02579690062,AL0267594,02579690062,"STS PER ALESSANDRIA, 6/A",Alessandria,15057,Piemonte,,,,,421100,30/07/2018,,In liquidazione,Società consortile a responsabilita' limitata
26.,"P.A. PETROLI S.R.L., IN LIQUIDAZIONE",IT14917791007,14917791007,RM1555289,14917791007," SASSONE, 129/131",Roma,00047,Lazio,VIA DEL SASSONE 129-131,Roma,00047,LAZIO,467100,10/09/2018,,In liquidazione,S.R.L.
27.,SOCIETA' CONSORTILE INFRASTRUTTURE E GESTIONI MULTISERVICE A RESPONSABILITA' LIMITATATA IN SIGLA S.C.A.R.L. INFRASTRUTTURE E MULTISERVICE - IN LIQUIDAZIONE -,IT04412300610,04412300610,CE0324747,04412300610,VIA NAZIONALE APPIA,Caserta,81050,Campania,VIA NAZIONALE APPIA S.S. 7BIS SNC,Caserta,81050,CAMPANIA,812991,07/05/2019,,In liquidazione,Società consortile a responsabilita' limitata
28.,IDRICA ROMA EST SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA IN LIQUIDAZIONE,IT15777351006,15777351006,RM1613306,15777351006,"VIA NAIROBI, 40",Roma,00144,Lazio,VIA NAIROBI 40,Roma,00144,LAZIO,422100,09/07/2020,,In liquidazione,Società consortile a responsabilita' limitata
29.,EIGHTY-TWENTY S.R.L. IN LIQUIDAZIONE,IT04472500406,04472500406,RN0414563,04472500406,"VIA ALESSANDRO SERPIERI, 37",Rimini,47921,Emilia-Romagna,VIA POMPOSA 43/A,Rimini,47924,EMILIA-ROMAGNA,702209,19/09/2019,,In liquidazione,S.R.L.
30.,CVS SERVICE SRL IN LIQUIDAZIONE,IT01233480076,01233480076,TO1263744,01233480076,"PZA CARLO FREGUGLIA, 13",Torino,10015,Piemonte,,,,,522440,21/05/2018,,In liquidazione,S.R.L.
31.,GIESSE S.R.L. - IN LIQUIDAZIONE,IT14994351006,14994351006,SS0205431,14994351006,"VIA CARLO FELICE, 56",Sassari,07100,Sardegna,,,,,522922,13/11/2018,,In liquidazione,S.R.L.
32.,ITLH S.P.A. IN LIQUIDAZIONE,IT10637190967,10637190967,MI2546299,10637190967," SCALA, 5",Milano,20121,Lombardia,PIAZZA DELLA SCALA 5,Milano,20121,LOMBARDIA,701000,23/01/2019,,In liquidazione,S.P.A.
33.,DELTA SOCIETA' COOPERATIVA IN LIQUIDAZIONE,IT09124131211,09124131211,NA1010871,09124131211,"VIA MICHELANGELO SCHIPA, 61",Napoli,80122,Campania,,,,,522922,21/01/2019,,In liquidazione,S.C.A.R.L.P.A.
34.,OPERA S.R.L. IN LIQUIDAZIONE,IT09095371218,09095371218,NA1008975,09095371218,"VIA NAZIONALE DELLE PUGLIE, 7",Napoli,80013,Campania,,,,,881000,12/12/2018,,In liquidazione,S.R.L.
35.,ATLANTE S.R.L. - IN LIQUIDAZIONE,IT10558860960,10558860960,MI2541720,10558860960,"CSO VENEZIA, 43",Milano,20121,Lombardia,CORSO VENEZIA 43,Milano,20121,LOMBARDIA,702209,26/11/2018,,In liquidazione,S.R.L.
36.,"SALO' EXZELENT LIVING S.R.L., IN LIQUIDAZIONE",IT11202590961,11202590961,MI2586418,11202590961,"VLE LUNIGIANA, 46/VIALE LUNIGI",Milano,20125,Lombardia,,,,,411000,19/02/2020,,In liquidazione,S.R.L.
37.,YELLOW SHEEP S.R.L. - IN LIQUIDAZIONE,IT10222070962,10222070962,MI2514412,10222070962,"VIA PIETRASANTA, 14 EDIFICIO 3 4",Milano,20141,Lombardia,,,,,731102,05/02/2018,,In liquidazione,S.R.L.
38.,SO.GE.AP SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA - IN LIQUIDAZIONE,IT11082850964,11082850964,MI2579086,11082850964," COMMENDA, 41/DELLA",Milano,20122,Lombardia,,,,,522922,13/12/2019,,In liquidazione,S.R.L. semplificata
39.,SCANDICCI S.C. A R.L. - IN LIQUIDAZIONE,IT12047060962,12047060962,MI2636592,12047060962,"VIA GIOVANNI CADOLINI, 32",Milano,20137,Lombardia,,,,,412000,07/10/2021,,In liquidazione,Società consortile a responsabilita' limitata
40.,ARES SOCIETA' COOPERATIVA - IN LIQUIDAZIONE,IT03954961201,03954961201,BO0558352,03954961201," ASTA SERVIZI BLOCCO 3 GALLERIA, 52",Bologna,40050,Emilia-Romagna,,,,,522922,21/05/2021,,In liquidazione,S.C.A.R.L.P.A.
41.,TRAVEL & LOGISTIC SOCIETA' COOPERATIVA IN LIQUIDAZIONE,IT10575000962,10575000962,RM1613598,10575000962,"VIA VILLAROSA, 3",Roma,00132,Lazio,,,,,812100,14/12/2018,,In liquidazione,S.C.A.R.L.P.A.
42.,GIEFFE S.R.L. IN LIQUIDAZIONE,IT14994371004,14994371004,LT0219959,14994371004,"VIA ALDO MORO, 41",Latina,04011,Lazio,,,,,522922,13/11/2018,,In liquidazione,S.R.L.
43.,CMF CENTRO SRL IN LIQUIDAZIONE,IT04144740984,04144740984,BS0591976,04144740984,"VIA CEFALONIA, 70",Brescia,25124,Lombardia,,,,,811000,20/11/2019,,In liquidazione,S.R.L.
44.,SERVIZI GESTIONE LOGISTICA S.R.L. - IN LIQUIDAZIONE,IT02049980762,02049980762,PZ0202372,02049980762,"VIA ISCA DEL PIOPPO, 67",Potenza,85100,Basilicata,VIA MONTEVERDE 10,Potenza,85025,BASILICATA,522922,04/06/2019,,In liquidazione,S.R.L.
45.,EXPO LOGISTICA S.R.L. IN LIQUIDAZIONE,IT16429751007,16429751007,RM1656184,16429751007,"VIA DE ROSSI GIOVANNI BATTISTA, 10",Roma,00161,Lazio,,,,,522922,24/11/2021,,In liquidazione,S.R.L.
46.,ALPHATEK S.R.L. UNIPERSONALE IN LIQUIDAZIONE,IT11215990968,11215990968,BS0595133,11215990968,"VIA UMBERTO I, 60/S",Brescia,25020,Lombardia,,,,,467210,03/03/2020,,In liquidazione,S.R.L.
47.,DUO S.R.L. - IN LIQUIDAZIONE,IT09491541216,09491541216,MI2594752,09491541216,"PZA QUATTRO NOVEMBRE, 4",Milano,20124,Lombardia,PIAZZA IV NOVEMBRE 4,Milano,20124,LOMBARDIA,412000,05/05/2020,,In liquidazione,S.R.L.
48.,ROMA COMPUTER S.R.L. IN LIQUIDAZIONE,IT14964321005,14964321005,RM1558606,14964321005,"PZA CLEMENTE ORIGO, 19",Roma,00127,Lazio,,,,,465100,18/10/2018,,In liquidazione,S.R.L.
49.,29 SERVIZI S.R.L. IN LIQUIDAZIONE,IT14874051007,14874051007,RM1552417,14874051007,"VIA GIORGIO SCALIA, 10",Roma,00136,Lazio,,,,,522922,13/07/2018,,In liquidazione,S.R.L.
50.,CUSTOMER DIGITAL SERVICE SRL IN LIQUIDAZIONE,IT11367970966,11367970966,RM1620087,11367970966,"VLE LOUIS PASTEUR, 49",Roma,00144,Lazio,,,,,822000,06/08/2020,,In liquidazione,S.R.L.
51.,FONA S.R.L. IN LIQUIDAZIONE,IT04294800612,04294800612,RM1668090,04294800612,"VIA SISTINA, 121",Roma,00187,Lazio,,,,,463420,01/02/2018,,In liquidazione,S.R.L.
52.,ENERGYSERVICES S.R.L. IN LIQUIDAZIONE,IT03558100784,03558100784,RM1667298,03558100784,"CRV CLODIA, 88",Roma,00195,Lazio,,,,,351400,29/03/2018,,In liquidazione,S.R.L.
53.,EPURA S.R.L.S. IN LIQUIDAZIONE,IT15227371000,15227371000,RM1577157,15227371000,"VIA GIOVAN BATTISTA GANDINO, 21",Roma,00167,Lazio,,,,,352300,04/04/2019,,In liquidazione,S.R.L. semplificata
54.,WSP E&IS ITALY S.R.L. IN LIQUIDAZIONE,IT12363640967,12363640967,TO1344319,12363640967,"VIA ANTONIO BANFO, 43",Torino,10155,Piemonte,,,,,390009,08/04/2022,,In liquidazione,S.R.L.
55.,PA.MA S.R.L.S. IN LIQUIDAZIONE,IT09391661213,09391661213,NA1029204,09391661213,"VIA NUOVA POGGIOREALE, 151/H",Napoli,80143,Campania,,,,,464430,18/12/2019,,In liquidazione,S.R.L.
56.,SMARTECH S.R.L. IN LIQUIDAZIONE,IT04354520613,04354520613,NA1040655,04354520613,"CSO NOVARA, 10",Napoli,80143,Campania,VIA AGOSTINO STELLATO 89,Caserta,81054,CAMPANIA,465209,09/10/2018,,In liquidazione,S.R.L.
57.,BUNKER ENERGY SOCIETA' A RESPONSABILITA' LIMITATA IN LIQUIDAZIONE IN BREVE BUNKER ENERGY S.R.L. IN LIQUIDAZIONE,IT14918551004,14918551004,RM1555348,14918551004,"VIA ADOLFO RAVA', 49",Roma,00142,Lazio,VIA BARTOLOMEO BOSCO 57/7 B,Genova,16121,LIGURIA,467100,11/09/2018,,In liquidazione,S.R.L.
58.,TOP TRADE MULTINVEST S.R.L. IN LIQUIDAZIONE,IT15028801007,15028801007,RM1563743,15028801007,"VLE LUCA GAURICO, 9",Roma,00143,Lazio,VIALE LUCA GAURICO 9,Roma,00143,LAZIO,463920,29/11/2018,,In liquidazione,S.R.L.
59.,ARAS S.R.L. IN LIQUIDAZIONE,IT10551710964,10551710964,MI2541095,10551710964,"VIA MACCHI MAURO, 8",Milano,20124,Lombardia,VIA CARADOSSO 12,Milano,20123,LOMBARDIA,479110,21/11/2018,,In liquidazione,S.R.L.
60.,STUDIO ECO - DOMUS S.R.L. IN LIQUIDAZIONE,IT02079740383,02079740383,FE0224181,02079740383,"VIA PROVENZALI MARCELLO, 1",Ferrara,44042,Emilia-Romagna,VIA MARCELLO PROVENZALI 1,Ferrara,44042,EMILIA-ROMAGNA,749093,16/12/2020,,In liquidazione,S.R.L.
61.,G.M. S.R.L. - IN LIQUIDAZIONE,IT03877010045,03877010045,CN0321650,03877010045,"STR PORINI, 5",Cuneo,12050,Piemonte,,,,,101100,19/02/2020,,In liquidazione,S.R.L.
62.,REGGIO 2018 S.C.A.R.L. IN LIQUIDAZIONE,IT04540670231,04540670231,VR0428938,04540670231,"VIA ADRIANO GARBINI, 15",Verona,37135,Veneto,,,,,421100,26/01/2018,,In liquidazione,Società consortile a responsabilita' limitata
63.,NORDEA S.R.L. - IN LIQUIDAZIONE,IT12074550968,12074550968,MI2638555,12074550968,"VIA VINCENZO MONTI, 8",Milano,20123,Lombardia,,,,,412000,27/10/2021,,In liquidazione,S.R.L.
64.,INDUSTRIE MACCHINE PERLINI SRL IN LIQUIDAZIONE,IT04546850233,04546850233,FO0408965,04546850233,"VIA MADONNA DELL'UMILTA', 3",Forlì-Cesena,47010,Emilia-Romagna,VIA MADONNA DELL'UMILTA' 3,Forlì-Cesena,47010,EMILIA-ROMAGNA,289209,19/02/2018,,In liquidazione,S.R.L.
65.,TBR S.R.L. IN LIQUIDAZIONE,IT04222540983,04222540983,BS0598087,04222540983,"VIA CADUTI DELLA LIBERTA', 15",Brescia,25021,Lombardia,,,,,256200,16/10/2020,,In liquidazione,S.R.L.
66.,GV METAL SRL IN LIQUIDAZIONE,IT02630570204,02630570204,VA0394011,02630570204,"VIA CONFALONIERI, 8",Varese,21040,Lombardia,,,,,383210,02/12/2020,,In liquidazione,S.R.L.
67.,STAND VOIP SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA IN LIQUIDAZIONE,IT03721221202,03721221202,BO0541384,03721221202,"VIA MARTIRI ANTIFASCISTI, 52/54",Bologna,40054,Emilia-Romagna,,,,,432909,11/07/2018,,In liquidazione,S.R.L. semplificata
68.,ESSEB SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA IN LIQUIDAZIONE,IT16102741002,16102741002,RM1634724,16102741002,"VIA BARNABA ORIANI, 114",Roma,00197,Lazio,VIA BARNABA ORIANI 114,Roma,00197,LAZIO,412000,12/03/2021,,In liquidazione,Società consortile a responsabilita' limitata
69.,AURICA S.R.L. IN LIQUIDAZIONE,IT10543600968,10543600968,MI2539911,10543600968,"VIA MARCO D' AVIANO, 2",Milano,20131,Lombardia,VIA MARCO D'AVIANO 2,Milano,20131,LOMBARDIA,711220,14/11/2018,,In liquidazione,S.R.L.
70.,ENGIE SOLAR ITALIA S.R.L. - IN LIQUIDAZIONE,IT11628020965,11628020965,MI2615540,11628020965,"VIA CHIESE, 72",Milano,20126,Lombardia,,,,,351100,23/02/2021,,In liquidazione,S.R.L.
71.,AREA LAMARO S.R.L. IN LIQUIDAZIONE,IT08990140157,08990140157,MI2123311,08990140157,"VIA GIULIO NATTA, 19",Milano,20151,Lombardia,VIA GIULIO NATTA 19,Milano,20151,LOMBARDIA,681000,31/01/2023,,In liquidazione,S.R.L.
72.,SCUDO IMMOBILIARE S.R.L. IN LIQUIDAZIONE,IT10319440961,10319440961,MI2522169,10319440961,"PZA GENERALE ARMANDO DIAZ, 5",Milano,20123,Lombardia,PIAZZA GENERALE ARMANDO DIAZ 5,Milano,20123,LOMBARDIA,681000,16/04/2018,,In liquidazione,S.R.L.
73.,M.F. TRADING SRL - IN LIQUIDAZIONE,IT04157920986,04157920986,BS0593348,04157920986,"VIA NICOLO' PAGANINI, 8",Brescia,25030,Lombardia,,,,,467620,16/01/2020,,In liquidazione,S.R.L.
74.,ITALY CRUISE INVESTMENT S.R.L. IN LIQUIDAZIONE,IT02554810990,02554810990,GE0494891,02554810990,"PZA PICCAPIETRA, 48",Genova,16121,Liguria,PIAZZA DI PICCAPIETRA 48,Genova,16121,LIGURIA,501000,30/07/2018,,In liquidazione,S.R.L.
75.,GKN HYDROGEN ITALY S.R.L. IN LIQUIDAZIONE/LIQUIDATION,IT03170790210,03170790210,BZ0237958,03170790210,"VIA BACHLA, 6/C",Bolzano/Bozen,39030,Trentino-Alto Adige/Südtirol,,,,,282999,22/06/2022,,In liquidazione,S.R.L.
76.,SPEED LOG SOCIETA' COOPERATIVA IN LIQUIDAZIONE,IT02633410069,02633410069,AL0272032,02633410069," REPUBBLICA, 25",Alessandria,15057,Piemonte,CORSO DELLA REPUBBLICA 25,Alessandria,15057,PIEMONTE,522922,11/05/2020,,In liquidazione,S.C.A.R.L.P.A.
77.,MICOROSA SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA - IN LIQUIDAZIONE,IT01384190771,01384190771,MT0207533,01384190771,"VIA GERMANIA, 10/O",Matera,75100,Basilicata,VIA GERMANIA 10/O,Matera,75100,BASILICATA,431200,26/02/2021,,In liquidazione,Società consortile a responsabilita' limitata
78.,SERVIZI GENERALI S.R.L. IN LIQUIDAZIONE,IT16324521000,16324521000,RM1649140,16324521000,"VIA BEVERINO, 6",Roma,00168,Lazio,VIA BEVERINO 6,Roma,00168,LAZIO,812100,09/09/2021,,In liquidazione,S.R.L.
79.,ZEFIRO S.R.L. IN LIQUIDAZIONE,IT12738050967,12738050967,MI2681066,12738050967,"VIA ARENA, 5",Milano,20123,Lombardia,,,,,620100,10/01/2023,,In liquidazione,S.R.L.
80.,IMPRESA ITALIA S.P.A. IN LIQUIDAZIONE,IT11651460963,11651460963,MI2616960,11651460963,"PZA SANT'AMBROGIO, N./2 1",Milano,20123,Lombardia,,,,,702209,01/03/2021,,In liquidazione,S.P.A.
81.,IPOC 3 S.P.A. IN LIQUIDAZIONE,IT10603180968,10603180968,MI2544700,10603180968,"VIA CUSANI, 4",Milano,20121,Lombardia,,,,,642000,10/01/2019,,In liquidazione,S.P.A.
82.,CPI LAMBRATE S.R.L. IN LIQUIDAZIONE,IT03964640134,03964640134,RM1683949,03964640134,"VIA TEVERE, 48",Roma,00198,Lazio,,,,,411000,13/05/2021,,In liquidazione,S.R.L.
83.,XLOG SRL,IT11001610960,11001610960,MI2701891,11001610960,"VIA FRANCESCO LONDONIO, 28",Milano,20154,Lombardia,,,,,522922,09/10/2019,,Attiva,S.R.L.
84.,ARPAX S.R.L.,IT15455001006,15455001006,RM1591551,15455001006,"VIA ISOLE DEL CAPO VERDE, 244",Roma,00121,Lazio,,,,,829999,09/10/2019,,In liquidazione,S.R.L.
85.,NET LOGISTICA S.R.L. IN LIQUIDAZIONE,IT16291421002,16291421002,RM1647224,16291421002,"VIA EDOARDO JENNER, 8",Roma,00151,Lazio,VIA EDOARDO JENNER 8,Roma,00151,LAZIO,522440,02/08/2021,,In liquidazione,S.R.L.
86.,PROLOGICA S.R.L.,IT09556131218,09556131218,MI2719536,09556131218,"VIA GIUSEPPE TARTINI, 21",Milano,20158,Lombardia,,,,,522400,16/07/2020,,In liquidazione,S.R.L.
87.,CRS TRASPORTI S.R.L.,IT15095621007,15095621007,RM1567845,15095621007,"VLE LEONARDO DA VINCI, 47",Roma,00015,Lazio,,,,,494100,23/01/2019,,In liquidazione,S.R.L.
88.,AZMANIA S.R.L.,IT04491740611,04491740611,RM1690047,04491740611,"VIA DEL SERAFICO, 89",Roma,00142,Lazio,CORSO ANTONIO CAMPANO 681,Napoli,80014,CAMPANIA,702209,12/05/2020,,In liquidazione,S.R.L.
89.,CONSORZIO TRE STAR IN LIQUIDAZIONE,IT16460291004,16460291004,RM1658240,16460291004," ONTANI, 14",Roma,00172,Lazio,VIA DEGLI ONTANI 14,Roma,00172,LAZIO,829999,15/12/2021,,In liquidazione,Consorzio
90.,MNT LOGISTICS S.R.L. IN LIQUIDAZIONE,IT15010611000,15010611000,RM1562100,15010611000,"PZA ALBERTO ALESSIO, 9",Roma,00122,Lazio,,,,,522440,21/11/2018,,In liquidazione,S.R.L.
91.,MB S.R.L. IN LIQUIDAZIONE,IT15088351000,15088351000,RM1568358,15088351000,"VIA PRENESTINA, 960",Roma,00155,Lazio,,,,,469000,29/01/2019,,In liquidazione,S.R.L.
92.,GM24 S.R.L.,IT16302991001,16302991001,RM1648022,16302991001,"VIA DI VIGNA STELLUTI, 14",Roma,00191,Lazio,,,,,479120,26/08/2021,,In liquidazione,S.R.L.
93.,PENTA CARBURANTI S.R.L.,IT03092530603,03092530603,FR0199359,03092530603,"PLE GIACOMO DE MATTHAEIS, 9",Frosinone,03100,Lazio,,,,,467100,16/12/2019,,Attiva,S.R.L.
94.,FAIRLOG S.R.L.,IT03771750134,03771750134,RM1619510,03771750134,"VLE ANGELICO, 54",Roma,00195,Lazio,VIA CANTURINA 49,Como,22100,LOMBARDIA,522440,23/04/2018,,In liquidazione,S.R.L.
95.,ERRESSE DISTRIBUTION S.R.L. IN SCIOGLIMENTO,IT09332221218,09332221218,NA1024742,09332221218,"VIA FERRANTE IMPARATO, 190",Napoli,80146,Campania,,,,,479110,01/10/2019,,In liquidazione,S.R.L.
96.,AMBROGIO FINANCE S.R.L. - IN LIQUIDAZIONE,IT11225570966,11225570966,MI2588535,11225570966,"VIA OLONA, 2",Milano,20123,Lombardia,VIA OLONA 2,Milano,20123,LOMBARDIA,649100,12/03/2020,,In liquidazione,S.R.L.
97.,EFFEDI SRL IN LIQUIDAZIONE,IT04407110610,04407110610,NA1060761,04407110610,"VIA SEGGIO DEL POPOLO, 22",Napoli,80138,Campania,VIA GIOVANNI RAGOZZINO,Caserta,81043,CAMPANIA,467710,16/04/2019,,In liquidazione,S.R.L.
98.,IN.JOB SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA IN LIQUIDAZ IONE,IT11585080960,11585080960,MI2612292,11585080960,"VIA VIALBA, 52",Milano,20026,Lombardia,,,,,702209,25/01/2021,,In liquidazione,Società consortile a responsabilita' limitata
99.,FIER. MET. S.R.L. IN SCIOGLIMENTO,IT09689591213,09689591213,NA1050045,09689591213,"VIA ALESSANDRO SCARLATTI, 150",Napoli,80127,Campania,VIA ALESSANDRO SCARLATTI 150,Napoli,80127,CAMPANIA,467210,01/02/2021,,In liquidazione,S.R.L.
100.,EONIA TELECOM SRL IN LIQUIDAZIONE,IT11048320961,11048320961,MI2575421,11048320961,"VIA BISCEGLIE, 76",Milano,20152,Lombardia,,,,,619091,12/11/2019,,In liquidazione,S.R.L.
101.,SISTEMI TRANSFER S.R.L. IN LIQUIDAZIONE,IT04931800231,04931800231,MI2677421,04931800231,"VIA VITTOR PISANI, 8/A",Milano,20124,Lombardia,VIA NAZIONALE 10,Verona,37046,VENETO,284100,16/11/2022,,In liquidazione,S.R.L.
102.,FARFETCH ITALIA S.R.L.,IT10503000969,10503000969,MI2536173,10503000969,"VIA ALESSANDRO MANZONI, 38",Milano,20121,Lombardia,VIA ALESSANDRO MANZONI 38,Milano,20121,LOMBARDIA,642000,01/10/2018,,Attiva,S.R.L.
103.,DC FORNITURE S.R.L.,IT11393440968,11393440968,MI2599258,11393440968,"VIA PURICELLI GUERRA, 14",Milano,20099,Lombardia,VIA PALERMO 20,Milano,20099,LOMBARDIA,731102,14/09/2020,,In liquidazione,S.R.L.
104.,NICHE S.R.L.,IT15954121008,15954121008,RM1625729,15954121008,"VIA CRISTOFORO COLOMBO, 112",Roma,00147,Lazio,,,,,701000,17/12/2020,,Attiva (con procedure di insolvenza),S.R.L.
